title;lien;company;categorie;Reference;Publie le;Type de poste;Lieu de travail;Experience;Etude;Remuneration proposee;Disponibilite;Langues;Mobilite
SAP MII/ME Developer;https://www.keejob.com/offres-emploi/153039/sap-miime-developer/;FAURECIA INFORMATIQUE TUNISIE - FIT;call center / télévente;152638;26-mars-22;UNKNOWNSIVP;ArianaTunisie;Aucune expérience;Bac + 3;UNKNOWN;Mi-temps/Temps partiel;Français;UNKNOWN
Télévendeur / Opérateurs téléphoniques;https://www.keejob.com/offres-emploi/152638/100-téléconseillers-salaire-net-de-1000-dt/;ALMAVIVA;recrutement / ressources humaines;153780;26-mars-22;UNKNOWNSIVP;ArianaTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Technicien de maintenance industrielle;https://www.keejob.com/offres-emploi/153780/technicien-de-maintenance-industrielle/;PARTNER RECRUITMENT;call center / télévente;153708;26-mars-22;CDI-SIVP-SIVP;Ariana VilleArianaTunisie;Entre 1 et 2 ans;Bac;900 - 1200 DT / Mois;Plein temps;Français;UNKNOWN
Télévendeurs en Télécommunication;https://www.keejob.com/offres-emploi/153708/télévendeurs-en-télécommunication/;VOICECOM;commerce / vente / distribution;152557;26-mars-22;SIVPSIVP;TunisTunisie;Moins d'un an;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Web Designer;https://www.keejob.com/offres-emploi/152557/web-designer/;ARGANIA DISTRIBUTION;consulting / étude / stratégie;153927;26-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Développeur Medior C#/.Net;https://www.keejob.com/offres-emploi/153927/développeur-medior-cnet/;BINITNS;banque / finance / assurances;152894;26-mars-22;CDI-CDD-SIVP;GafsaTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Chef de bureau à Gafsa;https://www.keejob.com/offres-emploi/152894/chef-de-bureau-à-gafsa/;TUNISIE LEASING ET FACTORING;commerce / vente / distribution;153138;26-mars-22;CDISIVP;Sousse JaouharaSousseTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Purchasing Manager;https://www.keejob.com/offres-emploi/153138/purchasing-manager/;OZEOL.;call center / télévente;153046;26-mars-22;CDISIVP;Ariana VilleArianaTunisie;Entre 1 et 2 ans;Bac;UNKNOWN;Plein temps;Français;UNKNOWN
Superviseurs d'équipe H/F;https://www.keejob.com/offres-emploi/153046/superviseurs-déquipe-hf/;ARMATIS TUNIS;call center / télévente;152448;26-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Chargé Formation;https://www.keejob.com/offres-emploi/152448/chargé-formation/;METOS;recrutement / ressources humaines;152432;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 3;1000 - 1500 DT / Mois;Plein temps;Français;UNKNOWN
Assistante Administrative Et Commerciale;https://www.keejob.com/offres-emploi/152432/assistante-administrative/;PARTNER RECRUITMENT;call center / télévente;153225;26-mars-22;CDI-SIVP-SIVP;La SoukraArianaTunisie;Entre 2 et 5 ans;Bac + 2;UNKNOWN;Plein temps;Français;UNKNOWN
Téléprospecteurs;https://www.keejob.com/offres-emploi/153225/téléprospecteurs/;TANIS;communication / publicité / média;153123;26-mars-22;CDISIVP;Ariana VilleArianaTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Anglais;UNKNOWN
Chargé de Qualification Anglophones;https://www.keejob.com/offres-emploi/153123/chargé-de-qualification-anglophones/;ETAI TUNISIE/INFOPRO DIGITAL;tourisme / hôtellerie / restauration / loisirs;153125;26-mars-22;CDI-CDD-SIVP;ArianaTunisie;Moins d'un an;Formations professionnelles;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Cuisiniers et des Pâtissiers;https://www.keejob.com/offres-emploi/153125/cuisiniers-et-des-pâtissiers/;GOURMANDISE;informatique / télécoms;153909;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
PHP Developer UMS;https://www.keejob.com/offres-emploi/153909/php-developer-ums/;STREAMWIDE;recrutement / ressources humaines;152558;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
QUALITY AND PROCESS IMPROVEMENT OFFICER;https://www.keejob.com/offres-emploi/152558/quality-and-process-improvement-officer/;PRODUCTLIFE GROUP;call center / télévente;153100;26-mars-22;CDI-CDD-SIVP;La SoukraArianaTunisie;Moins d'un an;Bac + 1;UNKNOWN;Plein temps;Allemand;UNKNOWN
KundenberatungPrämie+Vorteile;https://www.keejob.com/offres-emploi/153100/kundenberatung-prämievorteile/;PHONEACT;cosmétique / parfumerie / luxe;153752;26-mars-22;CDDSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 1;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
conseillères de vente à Fatales Tunis;https://www.keejob.com/offres-emploi/153752/conseillères-de-vente-à-fatales-tunis/;FATALES;call center / télévente;154006;26-mars-22;CDISIVP;El Omrane SuperieurTunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;Locale
Expert Réseaux / TELECOM / Niveau 2;https://www.keejob.com/offres-emploi/154006/expert-réseaux-telecom-niveau-2/;METOS;call center / télévente;152777;26-mars-22;CDISIVP;El Omrane SuperieurTunisTunisie;Entre 1 et 2 ans;Bac;UNKNOWN;Plein temps;Français;Locale
Téléconseillers en Réception d'appel (H/F);https://www.keejob.com/offres-emploi/152777/téléconseillers-en-réception-dappel-hf/;METOS;call center / télévente;153288;26-mars-22;CDD-SIVP-SIVP;ArianaTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
DES CONSEILLERS CLIENTS FR /réception d'appel;https://www.keejob.com/offres-emploi/153288/des-conseillers-clients-fr-réception-dappel/;ALMAVIVA;recrutement / ressources humaines;153081;26-mars-22;UNKNOWNSIVP;SfaxTunisie;Entre 5 et 10 ans;Bac + 4;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Directeur Administratif et Financier;https://www.keejob.com/offres-emploi/153081/directeur-administratif-et-financier/;PARTNER RECRUITMENT;informatique / télécoms;152640;26-mars-22;CDISIVP;Cite El KhadraTunisTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Front & back Office agent (English/French);https://www.keejob.com/offres-emploi/152640/front-back-office-agent-englishfrench/;CED;industrie électro-mécaniques;153560;26-mars-22;CDISIVP;Hammam ZribaZaghouanTunisie;Plus que 10 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;LocaleInternational
Chef Comptable (H/F);https://www.keejob.com/offres-emploi/153560/chef-comptable-hf/;SITEM;call center / télévente;153986;26-mars-22;CDI-SIVP-SIVP;Cite El KhadraTunisTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Conseiller en assurance;https://www.keejob.com/offres-emploi/153986/conseiller-en-assurance/;PREMUNIA;recrutement / ressources humaines;152431;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 3;1000 - 1500 DT / Mois;Plein temps;Français;UNKNOWN
Téléprospecteurs (H/F);https://www.keejob.com/offres-emploi/152431/teleprospecteur-hf/;PARTNER RECRUITMENT;recrutement / ressources humaines;152659;26-mars-22;UNKNOWNSIVP;Ben ArousTunisie;Entre 5 et 10 ans;Bac + 4;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Responsable developpement des compétences;https://www.keejob.com/offres-emploi/152659/hr-business-partner/;PARTNER RECRUITMENT;call center / télévente;152351;26-mars-22;CDISIVP;NabeulNabeulTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Assistant(e)s de Direction Générale;https://www.keejob.com/offres-emploi/152351/assistantes-de-direction-générale/;NEOPOLIS;cosmétique / parfumerie / luxe;152553;26-mars-22;CDISIVP;FouchanaBen ArousTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Acheteur;https://www.keejob.com/offres-emploi/152553/acheteur/;HYGIENE INDUSTRIELLE;commerce / vente / distribution;152721;26-mars-22;CDI-CDD-SIVP;La SoukraArianaTunisie;Entre 5 et 10 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Cadre Financier;https://www.keejob.com/offres-emploi/152721/cadre-financier/;SOQUIBAT;agriculture / agro-alimentaire / environnement;153025;26-mars-22;CDI-SIVP-SIVP;FouchanaBen ArousTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
TECHNICIEN SUPERIEUR LABORATOIRE;https://www.keejob.com/offres-emploi/153025/technicien-superieur-laboratoire/;IAT;call center / télévente;153706;26-mars-22;CDI-SIVP-SIVP;Ariana VilleArianaTunisie;Entre 2 et 5 ans;Formations professionnelles;UNKNOWN;Plein temps;Français;UNKNOWN
Téléconseiller Service Client Multicanal;https://www.keejob.com/offres-emploi/153706/téléconseiller-service-client-multicanal/;PHONEACT;consulting / étude / stratégie;153928;26-mars-22;SIVPSIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Développeur Junior C#/.Net;https://www.keejob.com/offres-emploi/153928/développeur-junior-cnet/;BINITNS;santé / paramédical / optique;152500;26-mars-22;CDI-SIVP-SIVP;TunisTunisie;Entre 2 et 5 ans;Doctorat;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Medical Representative;https://www.keejob.com/offres-emploi/152500/medical-representative/;IBN AL BAYTAR HIKMA;recrutement / ressources humaines;152988;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Gestionnaire de Carrières ( Banque );https://www.keejob.com/offres-emploi/152988/gestionnaire-de-carrières-banque/;PARTNER RECRUITMENT;call center / télévente;152736;26-mars-22;CDI-SIVP-SIVP;Bab BharTunisTunisie;Entre 1 et 2 ans;Bac + 1;UNKNOWN;Plein temps;Français;UNKNOWN
